Name,Followers,Country,Average Authentic,Average Engagement
linda_carpfishing,24.4K,Germany,1.1K,1.5K
neleschulze_,19.2K,Germany,1.3K,1.5K
_paperieur_,67.7K,Germany,371,452
annesauer91,29.8K,Germany,799,1.5K
meikpyka,26.4K,Germany,875,1.1K
jp.digitalart,25.4K,Germany,916,1.3K
nfc_mma,34.8K,Germany,672,777
oderspreeangler,34.7K,Germany,625,717
carpcrossing_official,69.4K,Germany,341,462
tridaniela_,32.4K,Germany,672,1K
cakis_reef,25.9K,Germany,812,991
christian.wolf.92,27.3K,Germany,850,1K
immodaddy,52.3K,Germany,404,778
surf_spirit,68.3K,Germany,328,394
triathlon_magazin,56.4K,Germany,347,395
eulemarkus,25K,Germany,750,888
valeskaschneider,52.8K,Germany,395,568
dive_with_german_girl,40.8K,Germany,463,666
seaeye_org,39.5K,Germany,446,528
bar_in_sky,109.2K,Germany,8.7K,17.4K
loris_gk,280.1K,Germany,3.3K,3.9K
lakisamar10,106K,Germany,9K,15.1K
andi_jo_wo,155.3K,Germany,5.5K,8.8K
gesa_krause,162.6K,Germany,5K,6.1K
abus_magomedov,209K,Germany,4.4K,7.1K
zeina.boxer,172.3K,Germany,5K,6.4K
marie__bogner,124.4K,Germany,6.4K,8.6K
emma_malewski,80.1K,Germany,9.4K,11.2K
running_ida,146.5K,Germany,5.8K,7.5K
dimaovtcharov,164.3K,Germany,4.4K,5K
momo.equestrian,115.5K,Germany,6.2K,7K
senadgashi_official,746.2K,Germany,1K,2.2K
budesheim_tim,184.4K,Germany,4.1K,4.7K
patricklange1,238.3K,Germany,2.7K,3.2K
dionofthebar,13.4K,Germany,52K,70.2K
silky.zigzag,361.4K,Germany,1.7K,2K
mathiasmester,230.8K,Germany,2.7K,3.1K
huskykid_,286.3K,Germany,2.1K,2.6K
julia_krajewski,63.1K,Germany,10K,12.4K
andreapetkovici,162K,Germany,3.6K,4.7K
laura_philipp_tri,132.5K,Germany,4.2K,4.9K
alexnm_13,71.4K,Germany,8.2K,9.6K
mikethebadass,161K,Germany,3.4K,4.4K
cg30,92.3K,Germany,5.5K,6.3K
nikguehrs,114.9K,Germany,4.6K,5.7K
christomtz,145.1K,Germany,3.6K,4.4K
liane_lippert,80.6K,Germany,6.1K,7.7K
laura_dahlmeier,168.8K,Germany,2.6K,3.1K
lukasdauser,72.7K,Germany,6.4K,8.3K
jessicngankam,63.2K,Germany,7.1K,9.6K
mariusquast,115.1K,Germany,3.6K,4.1K
pascal_wehrlein,149.7K,Germany,2.8K,4.4K
mcrenquel,273.8K,Germany,1.5K,2.6K
denise.herrmann,128.1K,Germany,2.9K,3.3K
ollizeidler,57.3K,Germany,6.8K,8.3K
seitzeli,85.3K,Germany,4.2K,5K
jannikkohlbacher_80,77.6K,Germany,4.5K,6.4K
lauraludwig86,76.5K,Germany,4.7K,6K
_lukas_568,103.4K,Germany,3.4K,5K
franzi110394,100.8K,Germany,3.4K,3.9K
dorotheeschneiderofficial,116.6K,Germany,2.9K,3.4K
nina.hoff96,101.3K,Germany,3.4K,4.1K
penny.del,129.6K,Germany,2.5K,2.8K
sabrinamockenhauptofficial,196.9K,Germany,1.6K,1.9K
sarah.vossi,44.7K,Germany,7.8K,9.6K
davidschumacher_official,62.9K,Germany,5.3K,7K
erik.lesser,145.7K,Germany,2.1K,2.9K
torben_koenig,205.4K,Germany,1.7K,2.5K
joeykelly.official,136.9K,Germany,2.3K,2.6K
marcel__hirscher,736.6K,Austria,17.5K,20.3K
bundesheer.online,138.9K,Austria,1.8K,2.1K
lk_practice,65.2K,Austria,3.1K,3.8K
ski_austria_alpin_herren,143.8K,Austria,1.3K,1.4K
mastersofdirt,120.4K,Austria,907,1.1K
katimairhofer,100.9K,Austria,1.2K,2.1K
mountaineering_coach_kate,94.5K,Austria,570,849
renekoch,101.1K,Austria,406,614
connysporrer,37.8K,Austria,920,1.2K
herzerl10,24.2K,Austria,919,1.1K
austriaakademie,11K,Austria,614,747
coachalexanderkrump,17.6K,Austria,453,546
steyr_traktoren_at,13.2K,Austria,473,546
diegarde,9.3K,Austria,620,679
tsvhartbergfussball,14.5K,Austria,382,469
austriaclimbing,23.3K,Austria,230,281
alex_puerzel,13.8K,Germany,392,445
koller_forsttechnik,10.2K,Austria,438,606
da.wintschii,16.5K,Austria,241,260
menafit.at,29.2K,Austria,146,176
social._verena,20.8K,Germany,197,237
christian_goller_,12.4K,Austria,356,619
helgepayer,25.5K,Austria,142,193
drbezard,17.5K,Austria,191,250
lavrovhockey,22.4K,Austria,141,327
jennybrnx,7K,Germany,494,596
julia.pross,25.1K,Austria,128,162
hcinnsbruck,9.9K,Austria,265,298
klaudiatanner,9.8K,Germany,224,269
schuelerunion,6K,Austria,308,346
bodymindsoul_yoga,3.8K,Austria,519,691
_paulchelemen_,10.4K,Austria,196,303
sknstpoelten,14.3K,Austria,120,150
htlwaidhofen,4.7K,Austria,318,414
alexanderhoefler_official,3.9K,Austria,422,565
stefan_suss,8.1K,Austria,191,258
tourismusschuleklessheim,7K,Austria,199,223
k.o.dojo_vienna,9.3K,Austria,163,203
eni90g,2.8K,Austria,477,763
topbody_gyms,4.6K,Austria,298,326
toniosmrt,4.8K,Austria,224,324
powerpumpsdance,5.8K,Austria,197,236
sebastian_hofbauer,3.2K,Austria,349,447
be_a_warrior.at,6.2K,Austria,157,240
becsbeasts,12.1K,Austria,72,93
hoffelnerfitness,13K,Austria,80,112
penzinghof,4.9K,Austria,170,201
janet.vincenza,4.8K,Austria,185,257
tirolerberufsjaeger,2.9K,Germany,286,372
goalkeepingcom,13.9K,Austria,61,97
sendtwitchhd,169.8K,Austria,954,1K
doriskafka,77.8K,Austria,311,392
vasilikialexandri,17.9K,Austria,1.2K,1.6K
laura.hofberger,11.7K,Austria,911,1.4K
jameszahirovic,10K,Germany,776,950
laurenz_121,11.2K,Austria,607,940
sonnentherme,13.5K,Austria,463,529
reinhardstretto_nt,17.5K,Austria,409,590
japotesta,8.4K,Austria,622,1K
lisamaria_dornauer,15.9K,Austria,301,395
chrisdiver,39.9K,Austria,123,225
spartamedic,11K,Austria,381,463
max_keuschnigg,7.6K,Germany,501,536
angelshop_carp_elite,26.3K,Austria,124,146
georg_horner_,16.6K,Germany,150,190
carp_sigiben,6.4K,Austria,376,497
dennis.carpfishing,9.9K,Austria,250,367
bad_kleinkirchheim,14.3K,Austria,134,167
lukas_koerper,7.7K,Germany,221,353
kili_niedermeier,9.2K,Austria,168,211
k.o.dojo_vienna,9.3K,Austria,163,203
pvahydrospol,12.3K,Austria,82,101
koglersporthotel,11.6K,Austria,90,125
sebastianha_nt,2.8K,Austria,312,376
flymex_store,12.5K,Austria,69,90
andre.pregl,8.9K,Austria,102,141
eurselina,4.9K,Germany,181,276
seenomaden_doris_wolf,3.4K,Austria,239,289
hoteljakob,6.1K,Germany,134,168
klaudiokolakovic,5.4K,Austria,122,157
andreas_ernhofer,4.3K,Austria,141,228
carp_atti,4.1K,Austria,180,263
miketobincarp,6.1K,Austria,93,122
gloryboards,15.4K,Austria,41,70
andreasonea,6.2K,Austria,91,135
alainkohl,7.6K,Austria,71,101
spade_kayaks,3.4K,Austria,140,180
chris.redl,8.1K,Austria,70,90
melo_maex,3.2K,Austria,150,255
benji.lofficial,5.6K,Austria,70,123
wakeation,2.4K,Austria,160,200
andreasogris,16.2K,Germany,28,90
tamera_freediving,3.5K,Austria,103,147
maurizio_moritz,10.9K,Austria,30,42
prettnerflachbergersailing,2.7K,Austria,124,183
iamdorisb,14.2K,Germany,25,39
aquapulco,7.2K,Austria,44,54
cron4wellness,5.5K,Germany,55,64
by.highflyers,16.3K,Austria,27,330
daniel_polsangler,2.6K,Austria,115,157
mohamedsobhyy99,1.1M,Egypt,34.9K,48.7K
muellnerfranz,1.9M,Austria,13.1K,26.6K
marcel__hirscher,736.6K,Austria,17.5K,20.3K
felix_neureuther,562.8K,Germany,10.1K,11.5K
wibmergabriel,500.1K,Germany,8.7K,10.3K
anna.veith,369.5K,Austria,5.7K,6.8K
manuela_zinsberger,128.9K,Austria,9.2K,11.7K
schwarz_marco,136.7K,Austria,6.7K,7.9K
lindameixner,135.7K,Austria,4.7K,6.2K
jakob.schubert,238.7K,Austria,2.7K,3.1K
sarahzadrazil25,133.9K,Austria,4.6K,5.9K
verena.helminger,27.9K,Austria,20.1K,25.7K
____verena,201.8K,Austria,2.4K,2.9K
connyhuetter,96.2K,Austria,4.1K,5.2K
wibmerjohannes,134.2K,Austria,2.2K,2.7K
anna_gandler,56.7K,Austria,5.1K,5.7K
clemenskaudela,164.9K,Austria,1.8K,2.2K
eliasruso,241.8K,Austria,1.2K,1.5K
stephi94brunner,60.2K,Austria,4.6K,5.9K
maxhitzig,49.3K,Austria,5.7K,6.7K
stefan_mueller_cycling,113K,Austria,2.4K,3.4K
jessy_pilz,101.4K,Austria,2.5K,2.9K
heiko_gi,109.8K,Austria,2.2K,2.6K
visittirol,242.5K,Austria,927,1.1K
itsstephanievenier,70K,Austria,3.1K,3.9K
liensberger.katharina,86.2K,Austria,2.3K,2.8K
ski_austria_alpin_herren,143.8K,Austria,1.3K,1.4K
thomas.feurstein,178.7K,Austria,1.1K,1.6K
mirjampuchner,76.5K,Austria,2.3K,3K
dynafit,170.8K,Austria,1.1K,1.4K
karin_alessandra,83.9K,Austria,2.2K,3.2K
patriciamadl,104.6K,Austria,1.6K,2.1K
andreamaria.bergner,64.8K,Austria,2.6K,3.5K
